vehicle_name,traffic_control_device,weather_condition,lighting_condition,trafficway_type,roadway_surface_cond,road_defect,crash_hour,crash_day_of_week,crash_month
Maruti Suzuki Wagon R,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN (NOT RAISED),DRY,OTHER,0,7,2
Kia Seltos,YIELD,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,9,6,12
Hyundai Verna,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,WORN SURFACE,6,3,7
Renault Kiger,NO CONTROLS,RAIN,DUSK,FOUR WAY,WET,"RUT, HOLES",18,1,4
Skoda Slavia,TRAFFIC SIGNAL,RAIN,DARKNESS,Y-INTERSECTION,WET,NO DEFECTS,1,3,1
Hyundai Venue,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",19,1,3
Mahindra Thar,NO CONTROLS,OTHER,UNKNOWN,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,19,4,7
Tata Altroz,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,NO DEFECTS,19,7,6
Mahindra Thar,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,7,4,10
Tata Altroz,TRAFFIC SIGNAL,RAIN,DAYLIGHT,FOUR WAY,DRY,"RUT, HOLES",16,4,7
Hyundai Verna,NO CONTROLS,CLEAR,DARKNESS,FOUR WAY,DRY,NO DEFECTS,0,2,4
Maruti Suzuki Swift,STOP SIGN/FLASHER,RAIN,DARKNESS,NOT DIVIDED,WET,WORN SURFACE,19,5,8
Toyota Innova,STOP SIGN/FLASHER,RAIN,UNKNOWN,NOT DIVIDED,WET,DEBRIS ON ROADWAY,18,4,9
Mahindra Thar,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",15,6,3
Hyundai Verna,OTHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,WET,WORN SURFACE,18,4,3
Tata Altroz,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAWN,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,5,7,1
Mahindra XUV700,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,WET,OTHER,15,6,9
Tata Harrier,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,T-INTERSECTION,WET,NO DEFECTS,7,2,9
Kia Seltos,STOP SIGN/FLASHER,UNKNOWN,DARKNESS,NOT DIVIDED,UNKNOWN,DEBRIS ON ROADWAY,22,2,7
Honda Amaze,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,DIVIDED - W/MEDIAN BARRIER,DRY,DEBRIS ON ROADWAY,20,1,11
Tata Nexon,NO CONTROLS,CLEAR,DAWN,FOUR WAY,"SAND, MUD, DIRT",WORN SURFACE,18,3,10
Hyundai Verna,NO CONTROLS,CLOUDY/OVERCAST,UNKNOWN,NOT DIVIDED,DRY,WORN SURFACE,21,1,8
Kia Seltos,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",7,4,11
Volkswagen Virtus,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",FOUR WAY,DRY,DEBRIS ON ROADWAY,21,2,4
Tata Harrier,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,10,4,2
Hyundai Creta,STOP SIGN/FLASHER,CLEAR,DUSK,ALLEY,"SAND, MUD, DIRT",NO DEFECTS,18,2,5
Mahindra Thar,NO CONTROLS,UNKNOWN,DUSK,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,18,5,1
Hyundai Venue,NO CONTROLS,CLEAR,DUSK,ONE-WAY,DRY,"RUT, HOLES",0,7,7
Kia Sonet,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,SHOULDER DEFECT,7,5,12
Hyundai Verna,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,SHOULDER DEFECT,0,5,1
Maruti Suzuki Wagon R,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,SHOULDER DEFECT,23,6,2
Maruti Suzuki Swift,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,6,1,7
Kia Sonet,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,"RUT, HOLES",15,3,12
Maruti Suzuki Swift,PEDESTRIAN CROSSING SIGN,RAIN,DARKNESS,OTHER,WET,"RUT, HOLES",19,7,6
Tata Harrier,NO CONTROLS,RAIN,DAYLIGHT,OTHER,WET,"RUT, HOLES",8,6,7
Mahindra Scorpio,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,8,1,1
Nissan Magnite,NO CONTROLS,CLEAR,DUSK,ONE-WAY,OTHER,WORN SURFACE,16,3,2
Renault Kiger,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",7,4,12
Renault Kiger,NO CONTROLS,OTHER,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",18,7,12
Honda Amaze,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",7,5,1
Tata Harrier,NO CONTROLS,UNKNOWN,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",8,1,12
Maruti Suzuki Wagon R,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DARKNESS,DIVIDED - W/MEDIAN BARRIER,DRY,NO DEFECTS,15,4,8
Maruti Suzuki Baleno,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,SHOULDER DEFECT,12,3,11
Tata Punch,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,21,3,7
Honda Amaze,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,WET,WORN SURFACE,20,1,7
Renault Kiger,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,14,4,7
Toyota Innova,NO CONTROLS,RAIN,DAYLIGHT,FOUR WAY,OTHER,"RUT, HOLES",11,5,9
Volkswagen Virtus,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,DEBRIS ON ROADWAY,10,6,2
Mahindra XUV700,NO PASSING,RAIN,DAYLIGHT,T-INTERSECTION,DRY,NO DEFECTS,9,6,1
Maruti Suzuki Baleno,NO CONTROLS,UNKNOWN,DAYLIGHT,CENTER TURN LANE,DRY,OTHER,15,5,6
Tata Harrier,TRAFFIC SIGNAL,RAIN,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,19,7,9
Toyota Innova,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,DRY,NO DEFECTS,10,3,3
Hyundai i20,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,CENTER TURN LANE,DRY,SHOULDER DEFECT,8,2,9
Maruti Suzuki Baleno,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT",WORN SURFACE,8,1,12
Hyundai Venue,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,3,2,1
Kia Sonet,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,17,2,9
Tata Altroz,STOP SIGN/FLASHER,RAIN,DAYLIGHT,T-INTERSECTION,WET,WORN SURFACE,14,7,7
Mahindra Scorpio,UNKNOWN,RAIN,DAYLIGHT,T-INTERSECTION,WET,NO DEFECTS,14,2,11
Maruti Suzuki Baleno,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,T-INTERSECTION,"SAND, MUD, DIRT",SHOULDER DEFECT,10,1,3
Kia Sonet,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DARKNESS,T-INTERSECTION,"SAND, MUD, DIRT","RUT, HOLES",21,4,9
Hyundai Creta,RAILROAD CROSSING GATE,CLEAR,DUSK,CENTER TURN LANE,"SAND, MUD, DIRT",NO DEFECTS,5,2,11
Tata Nexon,NO CONTROLS,CLEAR,DARKNESS,ONE-WAY,DRY,WORN SURFACE,20,2,12
Hyundai Creta,NO CONTROLS,OTHER,DAYLIGHT,OTHER,DRY,WORN SURFACE,12,3,9
Tata Altroz,STOP SIGN/FLASHER,RAIN,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),WET,"RUT, HOLES",20,7,7
Toyota Innova,NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",FOUR WAY,WET,DEBRIS ON ROADWAY,18,1,8
Mahindra Scorpio,PEDESTRIAN CROSSING SIGN,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",UNKNOWN,DRY,SHOULDER DEFECT,5,2,11
Kia Seltos,STOP SIGN/FLASHER,RAIN,DARKNESS,Y-INTERSECTION,UNKNOWN,NO DEFECTS,19,6,8
Nissan Magnite,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,ONE-WAY,UNKNOWN,SHOULDER DEFECT,16,2,1
Kia Sonet,NO CONTROLS,CLEAR,DUSK,T-INTERSECTION,OTHER,NO DEFECTS,1,4,12
Hyundai Venue,TRAFFIC SIGNAL,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",6,1,9
Maruti Suzuki Baleno,NO CONTROLS,OTHER,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,OTHER,16,6,9
Maruti Suzuki Baleno,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,17,6,4
Honda Amaze,STOP SIGN/FLASHER,CLEAR,DUSK,NOT DIVIDED,WET,NO DEFECTS,18,1,8
Tata Altroz,NO CONTROLS,SLEET/HAIL,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",17,7,6
Honda Amaze,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,T-INTERSECTION,DRY,"RUT, HOLES",17,5,8
Skoda Slavia,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",ALLEY,"SAND, MUD, DIRT",NO DEFECTS,18,6,2
Toyota Innova,NO CONTROLS,UNKNOWN,DAYLIGHT,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,15,6,8
Hyundai i20,OTHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,9,4,12
Maruti Suzuki Swift,NO CONTROLS,CLEAR,DARKNESS,OTHER,"SAND, MUD, DIRT",WORN SURFACE,21,6,1
Volkswagen Virtus,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAWN,FOUR WAY,DRY,"RUT, HOLES",2,2,12
Volkswagen Virtus,NO CONTROLS,CLEAR,DAWN,FOUR WAY,WET,NO DEFECTS,11,1,6
Tata Punch,NO CONTROLS,CLEAR,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),DRY,DEBRIS ON ROADWAY,18,3,11
Tata Harrier,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,13,2,10
Hyundai i20,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,0,7,8
Honda City,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD","FIVE POINT, OR MORE",DRY,UNKNOWN,3,7,9
Tata Harrier,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,T-INTERSECTION,DRY,SHOULDER DEFECT,14,2,11
Kia Seltos,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,"RUT, HOLES",22,3,6
Kia Sonet,STOP SIGN/FLASHER,UNKNOWN,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,15,4,6
Skoda Slavia,TRAFFIC SIGNAL,RAIN,DAYLIGHT,FOUR WAY,WET,NO DEFECTS,14,4,9
Toyota Innova,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",10,6,10
Volkswagen Virtus,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",9,4,9
Tata Altroz,TRAFFIC SIGNAL,CLEAR,DARKNESS,NOT DIVIDED,WET,WORN SURFACE,0,5,10
Maruti Suzuki Baleno,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,WORN SURFACE,9,6,7
Maruti Suzuki Swift,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,FOUR WAY,DRY,"RUT, HOLES",13,1,10
Mahindra XUV700,NO CONTROLS,CLEAR,DARKNESS,CENTER TURN LANE,"SAND, MUD, DIRT","RUT, HOLES",8,1,2
Maruti Suzuki Wagon R,YIELD,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,WORN SURFACE,4,2,8
Toyota Fortuner,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,WORN SURFACE,17,6,1
Maruti Suzuki Baleno,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,OTHER,20,2,6
Maruti Suzuki Wagon R,NO CONTROLS,RAIN,DARKNESS,UNKNOWN INTERSECTION TYPE,OTHER,SHOULDER DEFECT,21,7,6
Tata Nexon,OTHER REG. SIGN,OTHER,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,16,1,6
Mahindra Scorpio,STOP SIGN/FLASHER,RAIN,DARKNESS,NOT DIVIDED,WET,DEBRIS ON ROADWAY,2,5,9
Mahindra XUV700,TRAFFIC SIGNAL,CLOUDY/OVERCAST,UNKNOWN,ALLEY,DRY,NO DEFECTS,18,1,6
Honda City,NO CONTROLS,RAIN,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),WET,UNKNOWN,6,7,7
Hyundai i20,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,17,2,4
Maruti Suzuki Wagon R,STOP SIGN/FLASHER,RAIN,DAWN,UNKNOWN INTERSECTION TYPE,WET,"RUT, HOLES",18,5,6
Maruti Suzuki Brezza,NO CONTROLS,CLEAR,DUSK,NOT DIVIDED,DRY,NO DEFECTS,18,7,4
Kia Sonet,NO CONTROLS,RAIN,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,22,1,1
Kia Seltos,NO CONTROLS,RAIN,DAYLIGHT,FOUR WAY,"SAND, MUD, DIRT",NO DEFECTS,18,4,8
Volkswagen Virtus,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT REPORTED,DRY,SHOULDER DEFECT,17,5,9
Volkswagen Virtus,TRAFFIC SIGNAL,RAIN,DAYLIGHT,TRAFFIC ROUTE,WET,"RUT, HOLES",9,3,8
Hyundai Verna,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DARKNESS,ONE-WAY,DRY,"RUT, HOLES",20,5,7
Maruti Suzuki Brezza,STOP SIGN/FLASHER,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT",DEBRIS ON ROADWAY,7,5,6
Mahindra XUV700,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DARKNESS,Y-INTERSECTION,DRY,NO DEFECTS,21,2,11
Hyundai Verna,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,WORN SURFACE,10,6,7
Hyundai i20,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",FOUR WAY,WET,"RUT, HOLES",6,4,7
Mahindra Thar,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,NOT DIVIDED,DRY,NO DEFECTS,19,4,1
Skoda Slavia,NO CONTROLS,RAIN,DARKNESS,FOUR WAY,WET,SHOULDER DEFECT,0,7,6
Skoda Slavia,UNKNOWN,CLEAR,UNKNOWN,NOT DIVIDED,DRY,WORN SURFACE,19,5,6
Volkswagen Virtus,NO CONTROLS,OTHER,DAYLIGHT,ONE-WAY,DRY,NO DEFECTS,9,6,6
Honda Amaze,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,WET,"RUT, HOLES",20,7,8
Skoda Slavia,OTHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,SHOULDER DEFECT,17,5,7
Maruti Suzuki Baleno,NO CONTROLS,RAIN,DUSK,T-INTERSECTION,WET,NO DEFECTS,17,6,8
Honda Amaze,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,11,3,9
Hyundai Venue,NO CONTROLS,UNKNOWN,DARKNESS,T-INTERSECTION,DRY,WORN SURFACE,2,2,10
Hyundai Creta,NO CONTROLS,UNKNOWN,DARKNESS,OTHER,DRY,SHOULDER DEFECT,19,6,9
Maruti Suzuki Wagon R,STOP SIGN/FLASHER,UNKNOWN,DAYLIGHT,NOT DIVIDED,WET,WORN SURFACE,7,7,12
Volkswagen Virtus,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,WET,NO DEFECTS,12,1,1
Volkswagen Virtus,NO CONTROLS,CLEAR,DAYLIGHT,UNKNOWN INTERSECTION TYPE,DRY,"RUT, HOLES",16,6,3
Maruti Suzuki Baleno,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,WET,WORN SURFACE,14,1,1
Honda City,TRAFFIC SIGNAL,RAIN,DAYLIGHT,UNKNOWN,WET,NO DEFECTS,8,4,8
Hyundai i20,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,OTHER,DRY,"RUT, HOLES",6,6,11
Nissan Magnite,NO CONTROLS,CLEAR,DUSK,NOT DIVIDED,DRY,WORN SURFACE,6,4,4
Kia Sonet,NO CONTROLS,CLOUDY/OVERCAST,DARKNESS,NOT DIVIDED,DRY,SHOULDER DEFECT,20,3,12
Tata Harrier,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,OTHER,NO DEFECTS,3,2,1
Mahindra Scorpio,TRAFFIC SIGNAL,CLEAR,DARKNESS,NOT DIVIDED,WET,NO DEFECTS,23,7,12
Skoda Slavia,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",8,5,6
Kia Seltos,OTHER,CLOUDY/OVERCAST,DAYLIGHT,CENTER TURN LANE,DRY,WORN SURFACE,6,1,2
Volkswagen Virtus,TRAFFIC SIGNAL,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT",WORN SURFACE,15,1,7
Renault Kiger,STOP SIGN/FLASHER,OTHER,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,4,2,5
Maruti Suzuki Baleno,NO CONTROLS,UNKNOWN,DUSK,ONE-WAY,DRY,NO DEFECTS,16,5,5
Kia Seltos,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,WORN SURFACE,19,6,5
Honda City,LANE USE MARKING,CLEAR,DARKNESS,NOT DIVIDED,WET,DEBRIS ON ROADWAY,2,7,10
Honda Amaze,PEDESTRIAN CROSSING SIGN,RAIN,DARKNESS,NOT DIVIDED,DRY,WORN SURFACE,19,6,8
Kia Seltos,TRAFFIC SIGNAL,RAIN,DAYLIGHT,FOUR WAY,WET,"RUT, HOLES",12,5,6
Maruti Suzuki Brezza,STOP SIGN/FLASHER,RAIN,DAYLIGHT,ONE-WAY,WET,OTHER,7,5,8
Tata Nexon,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,"RUT, HOLES",7,5,9
Toyota Innova,UNKNOWN,CLOUDY/OVERCAST,DAWN,DIVIDED - W/MEDIAN (NOT RAISED),DRY,"RUT, HOLES",21,4,5
Tata Altroz,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,NO DEFECTS,6,6,7
Maruti Suzuki Baleno,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,DEBRIS ON ROADWAY,20,2,2
Skoda Slavia,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT","RUT, HOLES",15,3,3
Toyota Fortuner,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,1,7,9
Tata Altroz,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,NOT DIVIDED,DRY,NO DEFECTS,8,5,3
Toyota Fortuner,TRAFFIC SIGNAL,RAIN,DARKNESS,FOUR WAY,"SAND, MUD, DIRT",NO DEFECTS,19,4,7
Honda City,STOP SIGN/FLASHER,UNKNOWN,DUSK,NOT DIVIDED,DRY,NO DEFECTS,18,7,9
Renault Kiger,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,14,6,2
Nissan Magnite,STOP SIGN/FLASHER,RAIN,"DARKNESS, LIGHTED ROAD",UNKNOWN INTERSECTION TYPE,DRY,OTHER,20,3,8
Hyundai Venue,NO CONTROLS,CLEAR,UNKNOWN,NOT DIVIDED,DRY,NO DEFECTS,6,5,5
Volkswagen Virtus,NO CONTROLS,FOG/SMOKE/HAZE,DARKNESS,ONE-WAY,DRY,"RUT, HOLES",20,2,12
Toyota Fortuner,STOP SIGN/FLASHER,OTHER,DARKNESS,T-INTERSECTION,"SAND, MUD, DIRT",NO DEFECTS,19,1,7
Maruti Suzuki Swift,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,WORN SURFACE,17,7,10
Hyundai Verna,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,"RUT, HOLES",19,6,8
Nissan Magnite,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DUSK,NOT DIVIDED,"SAND, MUD, DIRT",NO DEFECTS,9,7,1
Tata Altroz,LANE USE MARKING,UNKNOWN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,SHOULDER DEFECT,17,6,8
Tata Altroz,NO CONTROLS,FOG/SMOKE/HAZE,DAWN,NOT DIVIDED,DRY,WORN SURFACE,10,4,12
Honda City,STOP SIGN/FLASHER,RAIN,DAYLIGHT,NOT DIVIDED,WET,OTHER,11,7,8
Maruti Suzuki Baleno,FLASHING CONTROL SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,WET,NO DEFECTS,15,6,10
Mahindra Scorpio,NO CONTROLS,FOG/SMOKE/HAZE,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,"RUT, HOLES",7,2,11
Honda City,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DRIVEWAY,DRY,UNKNOWN,13,5,4
Renault Kiger,NO CONTROLS,CLEAR,DAYLIGHT,FOUR WAY,DRY,WORN SURFACE,9,3,4
Mahindra Scorpio,TRAFFIC SIGNAL,CLEAR,DAWN,NOT DIVIDED,WET,SHOULDER DEFECT,6,2,8
Hyundai Verna,STOP SIGN/FLASHER,RAIN,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),"SAND, MUD, DIRT","RUT, HOLES",10,1,6
Mahindra XUV700,OTHER REG. SIGN,FOG/SMOKE/HAZE,DARKNESS,DIVIDED - W/MEDIAN BARRIER,DRY,WORN SURFACE,19,5,11
Tata Altroz,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT DIVIDED,WET,WORN SURFACE,12,4,11
Toyota Fortuner,TRAFFIC SIGNAL,RAIN,DUSK,T-INTERSECTION,WET,NO DEFECTS,18,1,6
Hyundai Verna,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,"SAND, MUD, DIRT",WORN SURFACE,7,6,4
Tata Punch,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,UNKNOWN INTERSECTION TYPE,DRY,WORN SURFACE,13,6,10
Hyundai i20,NO CONTROLS,CLEAR,DARKNESS,FOUR WAY,WET,NO DEFECTS,6,2,5
Kia Sonet,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,OTHER,NO DEFECTS,6,7,10
Maruti Suzuki Swift,NO CONTROLS,RAIN,DAYLIGHT,Y-INTERSECTION,"SAND, MUD, DIRT",NO DEFECTS,16,6,7
Volkswagen Virtus,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,WET,SHOULDER DEFECT,16,6,9
Honda City,TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DAWN,NOT DIVIDED,WET,WORN SURFACE,6,1,1
Maruti Suzuki Wagon R,NO CONTROLS,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",T-INTERSECTION,OTHER,"RUT, HOLES",14,7,8
Tata Altroz,TRAFFIC SIGNAL,RAIN,DARKNESS,UNKNOWN INTERSECTION TYPE,"SAND, MUD, DIRT",WORN SURFACE,20,7,7
Kia Seltos,STOP SIGN/FLASHER,CLOUDY/OVERCAST,DUSK,NOT DIVIDED,DRY,"RUT, HOLES",7,4,8
Nissan Magnite,NO CONTROLS,CLEAR,DARKNESS,DIVIDED - W/MEDIAN BARRIER,WET,SHOULDER DEFECT,0,7,3
Skoda Slavia,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,17,5,9
Maruti Suzuki Swift,NO CONTROLS,CLEAR,DARKNESS,NOT DIVIDED,DRY,WORN SURFACE,2,2,11
Volkswagen Virtus,STOP SIGN/FLASHER,CLEAR,UNKNOWN,NOT DIVIDED,DRY,NO DEFECTS,23,6,4
Mahindra Scorpio,STOP SIGN/FLASHER,FOG/SMOKE/HAZE,DAYLIGHT,FOUR WAY,DRY,NO DEFECTS,12,5,1
Skoda Slavia,STOP SIGN/FLASHER,OTHER,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,NO DEFECTS,14,3,1
Hyundai Venue,UNKNOWN,RAIN,DAYLIGHT,NOT DIVIDED,WET,"RUT, HOLES",13,2,8
Skoda Slavia,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,NOT REPORTED,DRY,SHOULDER DEFECT,15,4,8
Tata Altroz,TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,WET,"RUT, HOLES",5,6,8
Maruti Suzuki Baleno,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,NO DEFECTS,21,7,4
Toyota Innova,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,FOUR WAY,DRY,UNKNOWN,16,5,6
Mahindra Scorpio,LANE USE MARKING,RAIN,DAYLIGHT,NOT DIVIDED,OTHER,NO DEFECTS,7,4,8
